"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Less", "Markdown", "TypeScript React", "HTML", "comment", "blank", "total"
"d:\project\s2\testApp\src\locales\pt-BR\pages.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\project\s2\testApp\src\locales\pt-BR\pwa.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\project\s2\testApp\src\locales\pt-BR\settingDrawer.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\project\s2\testApp\src\locales\pt-BR\settings.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\project\s2\testApp\src\locales\zh-CN.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\project\s2\testApp\src\locales\zh-CN\component.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\project\s2\testApp\src\locales\zh-CN\globalHeader.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\project\s2\testApp\src\locales\zh-CN\menu.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 2, 62
"d:\project\s2\testApp\src\locales\zh-CN\pages.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"d:\project\s2\testApp\src\locales\zh-CN\pwa.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\project\s2\testApp\src\locales\zh-CN\settingDrawer.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\project\s2\testApp\src\locales\zh-CN\settings.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\project\s2\testApp\src\locales\zh-TW.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\project\s2\testApp\src\locales\zh-TW\component.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\project\s2\testApp\src\locales\zh-TW\globalHeader.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\project\s2\testApp\src\locales\zh-TW\menu.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"d:\project\s2\testApp\src\locales\zh-TW\pwa.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\project\s2\testApp\src\locales\zh-TW\settingDrawer.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\project\s2\testApp\src\locales\zh-TW\settings.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\project\s2\testApp\src\manifest.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\project\s2\testApp\src\pages\404.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\project\s2\testApp\src\pages\Admin.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"d:\project\s2\testApp\src\pages\TableList\components\UpdateForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 5, 210
"d:\project\s2\testApp\src\pages\TableList\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 631, 0, 97, 46, 774
"d:\project\s2\testApp\src\pages\User\Login\index.less", "Less", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"d:\project\s2\testApp\src\pages\User\Login\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 318, 0, 9, 23, 350
"d:\project\s2\testApp\src\pages\Welcome.less", "Less", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\project\s2\testApp\src\pages\Welcome.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"d:\project\s2\testApp\src\pages\checkPage\dailyCheck.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 419, 0, 27, 30, 476
"d:\project\s2\testApp\src\pages\checkPage\deckingCheckPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 12, 36
"d:\project\s2\testApp\src\pages\checkPage\periodicCheck.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 835, 0, 69, 64, 968
"d:\project\s2\testApp\src\pages\checkPage\split.less", "Less", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\project\s2\testApp\src\pages\document.ejs", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 16, 237
